"country","colonizer","col","colstart_max","colend_max","colstart_mean","colend_mean"
"Afghanistan","belgium",0,NA,NA,NA,NA
"Albania","belgium",0,NA,NA,NA,NA
"Algeria","belgium",0,NA,NA,NA,NA
"Andorra","belgium",0,NA,NA,NA,NA
"Angola","belgium",0,NA,NA,NA,NA
"Antigua & Barbuda","belgium",0,NA,NA,NA,NA
"Argentina","belgium",0,NA,NA,NA,NA
"Armenia","belgium",0,NA,NA,NA,NA
"Australia","belgium",0,NA,NA,NA,NA
"Austria","belgium",0,NA,NA,NA,NA
"Azerbaijan","belgium",0,NA,NA,NA,NA
"Bahamas","belgium",0,NA,NA,NA,NA
"Bahrain","belgium",0,NA,NA,NA,NA
"Bangladesh","belgium",0,NA,NA,NA,NA
"Barbados","belgium",0,NA,NA,NA,NA
"Belarus","belgium",0,NA,NA,NA,NA
"Belgium","belgium",0,NA,NA,NA,NA
"Belize","belgium",0,NA,NA,NA,NA
"Benin","belgium",0,NA,NA,NA,NA
"Bhutan","belgium",0,NA,NA,NA,NA
"Bolivia","belgium",0,NA,NA,NA,NA
"Bosnia & Herzegovina","belgium",0,NA,NA,NA,NA
"Botswana","belgium",0,NA,NA,NA,NA
"Brazil","belgium",0,NA,NA,NA,NA
"Brunei","belgium",0,NA,NA,NA,NA
"Bulgaria","belgium",0,NA,NA,NA,NA
"Burkina Faso","belgium",0,NA,NA,NA,NA
"Burundi","belgium",1,1923,1962,1922,1962
"Cambodia","belgium",0,NA,NA,NA,NA
"Cameroon","belgium",0,NA,NA,NA,NA
"Canada","belgium",0,NA,NA,NA,NA
"Cape Verde","belgium",0,NA,NA,NA,NA
"Central African Republic","belgium",0,NA,NA,NA,NA
"Chad","belgium",0,NA,NA,NA,NA
"Chile","belgium",0,NA,NA,NA,NA
"China","belgium",0,NA,NA,NA,NA
"Colombia","belgium",0,NA,NA,NA,NA
"Comoros","belgium",0,NA,NA,NA,NA
"Congo - Brazzaville","belgium",0,NA,NA,NA,NA
"Congo - Kinshasa","belgium",1,1885,1960,1885,1960
"Costa Rica","belgium",0,NA,NA,NA,NA
"Côte d’Ivoire","belgium",0,NA,NA,NA,NA
"Croatia","belgium",0,NA,NA,NA,NA
"Cuba","belgium",0,NA,NA,NA,NA
"Cyprus","belgium",0,NA,NA,NA,NA
"Czechia","belgium",0,NA,NA,NA,NA
"Denmark","belgium",0,NA,NA,NA,NA
"Djibouti","belgium",0,NA,NA,NA,NA
"Dominica","belgium",0,NA,NA,NA,NA
"Dominican Republic","belgium",0,NA,NA,NA,NA
"Ecuador","belgium",0,NA,NA,NA,NA
"Egypt","belgium",0,NA,NA,NA,NA
"El Salvador","belgium",0,NA,NA,NA,NA
"Equatorial Guinea","belgium",0,NA,NA,NA,NA
"Eritrea","belgium",0,NA,NA,NA,NA
